airline,name,shortName,callSign,country,airlineUrl,phone
ASK|La Ronge Aviation Services Ltd|La Ronge Aviation Services Ltd|Air Sask|Canada||
ASL|AIR SERBIA||AIR SERBIA|Serbia|http://www.airserbia.com|
ASM|Scta Air Saint Martin|Scta Air Saint Martin|Air Saint Martin|||
ASN|Air Straubing Luftfahrtgesellschaft Mbh, Atting|Air Straubing Luftfahrtgesellschaft Mbh, Atting|Tiger|||
ASO|Aero Slovakia|Aero Slovakia|Aero Nitra|||
ASP|AirSprint|AirSprint||Canada||
ASQ|ExpressJet||Acey|United States|http://www.expressjet.com/|+1-404-856-1433
ASR|All Star Airlines, Inc.|All Star|All Star|||
ASS|Air Class, S.A. de C.V.|Air Class de C.V.|Air Class|||
ASU|Compania Aerea Del Sur S.A.|Compania Aerea Del Sur S.A.|Asur|||
ASV|Air Seoul, Inc|Air Seoul|Air Seoul|South Korea|https://flyairseoul.com|
ASW|Air Southwest|Air Southwest|Airsouthwest|Canada||
ASX|Air Special|Air Special|Airspec|||
ASY|Royal Australian Air Force|Royal Australian Air Force|Aussie|Australia||
ASZ|Ascension Air Management Inc|Ascension|ASZ|United States||
ATA|ATA/Air Transport Association|||||
ATB|Atlantair Ltd.|Atlantair Ltd.|Starlite|Canada||
ATC|Air Tanzania|Air Tanzania|Tanzania|Tanzania||
ATD|Aerotours Dominicana, C. Por A.|Aerotours Dominicana, C. Por A.|Aerotours|||
ATF|Compania Aerotecnicas Fotograficas|Compania Aerotecnicas Fotograficas|Aerotecnicas|||
ATG|Aerotranscargo|Aerotranscargo|Moldcargo|Moldova||
ATH|Air Travel Corp.|Air Travel Corp.|Air Travel|||
ATJ|Air Traffic GMBH|Air Traffic|Snoopy|||
ATK|Aerotaxi Casanare Ltda.|Aerotaxi Casanare|Aerotaca|||
ATL|Air Atlantic|Air Atlantic|Air Atlantic|||
ATM|Airlines of Tasmania|Airlines of Tasmania|Airtas|Australia||
ATN|Air Transport International, Inc.|Air Transport International, Inc.|Air Transport|United States|http://www.airtransport.cc/|
ATP|Aerotransportes Especiales Ltda.|Aerotransportes Especiales Ltda.|Astral|||
ATQ|Air Transport Schiphol|Air Transport Schiphol|Multi|||
ATR|Atlas Airlines|Atlas Airlines|Atlas-Air|||
ATT|Aer Turas Teoranta|Aer Turas Teoranta|Aertutas|Ireland||
ATU|Atlant Aerobatics Ltd|Atlant Aerobatics Ltd|Atlant Hungary|||
ATV|Avanti Air|Avanti Air|Avanti|||
ATW|Air Antwerp|Air Antwerp|Devil|Belgium|https://www.airantwerp.com/|+32 33 03 78 18
ATX|AirSwift Transport Inc.|AirSwift|Airswift|Philippines||
ATZ|Alarmond Limited|Alarmond Limited|Astel|||
AUA|Austrian Airlines (AUA)|Austrian Airlines|Austrian|Austria|http://www.aua.com/us/eng|+1-800-843-0002
AUB|Augsburg-airways GMBH|Augsburg-airways GMBH|Augsburg-air|Germany||
AUC|Aero Marine Consulting Pty Ltd|Aero Marine Consulting|Auscargo|||
AUD|Air Unlimited|Air Unlimited|Genie|||
AUF|Augusta Air Luftfahrtunternehmen, Augsburg|Augusta Air Luftfahrtunternehmen, Augsburg|Augusta|||
AUG|Cesar Augusto de la Cruz Lepe, C.p.a.|Cesar Augusto de la Cruz Lepe, C.p.a.|Augusto|||
AUH|Amiri Flight|Amiri Flight|Sultan|||
AUI|Ukraine International Airlines|Ukraine International|Ukraine International|Ukraine|http://www.ukraine-international.com/eng/book|+1-800-876-0114
AUK|Auric Air Services Limited|Auric Air Services|Auric Services|Tanzania||
AUL|Nordavia Regional Airlines|Nordavia Regional Airlines|Archangelsk Air|||
AUM|Air Atlantic Uruguay S.A.|Air Atlantic Uruguay S.A.|Atlamur|||
AUN|Aviones Unidos, S.A. de C.V.|Aviones Unidos de C.V.|Aviones Unidos|||
AUO|Empresa Aero Uraguay||Uniform Oscar|||
AUR|Aurigny Air Services Ltd.|Aurigny Air Services Ltd.|Ayline|||
AUS|Aus-Air|Aus-Air||Australia||
AUT|Austral Lineas Aereas|Austral Lineas Aereas|Austral||http://www.aerolineas.com.ar/en-eu|
AUU|Aurora Flight Sciences|Aurora Flight Sciences|Argo|United States||
AUV|Atruvera|Atruvera|Atruvera|||
AUY|Aerolineas Uruguayas S.A.|Aerolineas Uruguayas|Ausa|||
AUZ|Amaszonas Uruguay|Amaszonas Uruguay|URUGUAYO|Uruguay|https://www.amaszonas.com/es-uy/|
AVA|Avianca, Aerovias Nacionales de Colombia, S.A.|Avianca|Avianca|Colombia|http://www.avianca.com/|+1-800-284-2622
AVB|Aviation Beauport Ltd.|Aviation Beauport|Beaupair|||
AVC|Aeronautica Venezolana, C.a.|Aeronautica Venezolana, C.a.|Aerovenca|||
AVD|Alamo Aviacion S.l.|Alamo Aviacion S.l.|Alamo|||
AVE|Avensa, Aerovias Venezolanas, S.A.|Avensa, Aerovias Venezolanas|Ave|||
AVF|Aviair Aviation Ltd.|Aviair Aviation|Cariboo|Canada||
AVG|Avialgarve, Taxis Aereos Do Algarve, Lda|Avialgarve, Taxis Aereos Do Algarve, Lda|Algarve|||
AVH|Aviser, S.A.|Aviser|Aviser|||
AVI|L'Avion||Elysair|France||
AVJ|Avia Traffic Company|Avia Traffic Company|ATOMIC|Kyrgyz Republic|http://www.aero.kg/|
AVK|Air Alvik AB|Air Alvik AB|Alvik|||
AVL|Aviation Adventures|Aviation Adventures|Sky Ventures|United States||
AVM|Aviacion Ejecutiva Mexicana, S.A.|Aviacion Ejecutiva Mexicana|Avemex|||
AVN|Air Vanuatu||Air Van|Australia|http://www.airvanuatu.com|+1-800-677-4277
AVO|Aerovias Oaxaquenas, S.A.|Aerovias Oaxaquenas|Oaxaquenas|||
AVQ|Aviation Services, Inc.|Aviation Services|Aquiline|||
AVR|Active Aero Charter|Active Aero Charter|Active Aero|||
AVS|Artac|Artac|Artac|||
AVT|Ats Aircharter Ltd.|Ats Aircharter|Advent|||
AVU|Avia Sud|Avia Sud|Aviasud|||
AVV|Airvantage Incorporated|Airvantage|Airvantage|||
AVW|Aviator S.A.|Aviator|Aviator|||
AVX|Aviapaslauga|Aviapaslauga|Aviapaslauga|Lithuania||
AVY|Aerovaradero, S.A.|Aerovaradero|Aerovaradero|||
AVZ|Aeroservice|Aeroservice|Sabit|||
AWA|The Atlantic Airline|The Atlantic Airline|Gambia Atlantic|||
AWB|Airways International, Inc.|Airways International|Airnat|||
AWC|Titan Airways Ltd|Titan|Zap|United Kingdom|http://www.titan-airways.com/|
AWD|Air World Ltd.|Air World Ltd.|Envoy|||
AWF|Arab Air Cargo|Arab Air Cargo|Sinbad|||
AWG|Airtaxi Wings AG|Airtaxi Wings AG|Blue Wings|||
AWH|Aerowest GmbH|Aerowest|Aerowest|Germany||
AWI|Air Wisconsin Airlines Corporation|Air Wisconsin|WISCONSIN|United States|http://www.airwis.com/home.html|
AWJ|Sahel Airlines|Sahel Airlines|Sahel Airlines|||
AWK|Airwork Services Training|Airwork Services Training|Airwork|||
AWL|Avia, Y. Petrov's Airline Ltd|Avia, Y. Petrov's Airline Ltd|Katun|||
AWM|Asian Wings Airways|Asian Wings Airways|Asian Star|Myanmar|http://www.asianwingsair.com/|
AWN|Air Niger S.A.|Air Niger|Air Niger|||
AWO|Awood Air Ltd.|Awood Air|Awood Air|Canada||
AWQ|Indonesia AirAsia||Wagon Air|Indonesia|http://www.airasia.com/us/en/home.page?cid=1|
AWR|Arctic Wings And Rotors Ltd|Arctic Wings And Rotors Ltd|Arctic Wings|Canada||
AWS|Arab Wings Company|Arab Wings Company|Arab Wings|||
AWT|Air West|Air West|Air West|||
AWU|Sylt Air GMBH, Sylt-Ost|Sylt Air|Sylt Air|Germany||
AWV|Airwave Transport Inc.|Airwave Transport|Airwave|Canada||
AWX|Aerodrome Standards 2|Aerodrome Standards 2|Allweather|||
AWY|Aeroway S.l.|Aeroway S.l.|Aerowee|||
AXA|Kiev Aar Airlines|Kiev Aar Airlines|Aar Airlines|||
AXB|AIR INDIA EXPRESS|Air India Express|EXPRESS INDIA|||
AXC|Air Exclusive|Air Exclusive|Air Exclusive|||
AXE|AirExplore|AirExplore|Galileo|Slovakia||
AXG|Air X Charter Germany GmbH|AirX|Fortune|Germany||
AXI|Aeron International Airlines, Inc.|Aeron International|Air Freighter|||
AXK|African Express Airways|African Express||Kenya|http://www.africanexpress.net/|
AXL|Anguilla Air Services, Ltd.|Anguilla Air Services||Anguilla||
AXM|AirAsia Sdn. Bhd.|AirAsia|Asian Express|Malaysia|http://www.airasia.com/|
AXP|Air Express A.s.|Air Express A.s.|Scanvip|||
AXQ|Action Airlines|Action Airlines|Action Air||http://www.actionairlines.net/|+1-800-243-8623
AXR|Axel Rent, S.A.|Axel Rent|Rentaxel|||
AXS|Altus Airlines|Altus Airlines|Altus|||
AXT|Aerotaxis Axa S.l.|Aerotaxis Axa S.l.|Aeroaxa|||
AXY|Air X Charter|Air X Charter|Legend|Malta||
AYA|Federal Aviation Administration|Federal Aviation Administration|Academy Air|||
AYB|Force Terrestre Belge|Force Terrestre Belge|Belgian Army|||
AYC|Aviacion Y Comercio, S.A.|Aviacion Y Comercio|Aviaco|||
AYG|Yangon Airways|Air Thanlwin|Yankee Hotel|Myanmar|http://www.yangonair.com/index.php/en/|
AYM|Airman, S.l.|Airman, S.l.|Airman|||
AYR|British Aerospace Flying College Ltd|British Aerospace Flying College|Cygnet|||
AYT|Ayeet Aviation & Tourism|Ayeet Aviation & Tourism|Ayeet|||
AYY|Air Alliance Express|||Germany||
AZA|Alitalia - Linee Aeree Italiane, S.p.a.|Alitalia|Alitalia|Italy|http://www.alitalia.com/|+1-800-223-5730
AZB|Zambia Airways (2014) Limited|Zambia Airways|Air Zambia|Zambia||
AZE|Cosmos Air Luftfahrtunternehmen GMBH, Mannheim|Cosmos Air Luftfahrtunternehmen GMBH, Mannheim|Cosy|||
AZF|Air Zermatt AG|Air Zermatt AG|Air Zermatt|||
AZG|Silk Way West Airlines|Silk Way West|Silk West|||
AZK|Azalhelikopter|Azalhelikopter|Azalkopter|||
AZL|Air Zanzibar Limited|Air Zanzibar Limited|Zanzibar|||
AZM|Azman Air Services Ltd.|Azman Air|Azman Air|Nigeria||
AZN|Amaszonas SA|Amaszonas|Amazonas|Bolivia||
AZO|JSC Azimuth Airlines|Azimuth|Azimuth|Russian Federation||
AZP|Amaszonas Paraguay S.A.|Paranair|GUARANI|Paraguay|https://www.paranair.com/|
AZQ|Silk Way Airlines|Silk Way||Azerbaijan|http://www.silkwayairlines.com/|
AZS|Aviacon Zitotrans|Aviacon Zitotrans|Zitotrans|Russian Federation||
AZT|Azimut, S.A.|Azimut|Azimut|||
AZU|Azul Brazilian Airlines|Azul Brazilian Airlines|AZUL BLUEBIRD|Brazil|http://www.voeazul.com.br|+1-844-499-2985
AZV|Asov-Avia, Aircompany|Asov-Avia|Azov Avia|||
AZW|Air Zimbabwe|Air Zimbabwe|Air Zimbabwe|||
AZX|Air Bristol Ltd|Air Bristol Ltd|Aztec Air|||
AZY|Aztec Worldwide Airlines, Inc.|Aztec Airways|Aztec World|United States||
AZZ|Azza Transport Co. Ltd|Azza Transport Co. Ltd|Azza Transport|||
BAD|Flight Development, LLC||BADLANDS|United States||
BAE|BAe Systems (Corporate Air Travel) Ltd.|BAe Systems|Felix|United Kingdom||
BAF|Belgian Air Force|Belgian Air Force|Belgian Airforce|Belgium||
BAH|The Amiri Flight-Bahrain|The Amiri Flight-Bahrain|Bahrain|||
BAI|Barair, S.A.|Barair|Barai|||
BAJ|Baker Aviation, Inc.|Baker Aviation|Baker Aviation|||
BAK|Blackhawk Airways, Inc.|Blackhawk|Blackhawk|||
BAL|BELLE AIR EUROPE S.R.L.|L9|BELLEAIR EUROPE|Italy||
BAM|Business Air Services (Toronto) Ltd.|Business Air Services|Business Air|Canada||
BAN|Air Ban Ltd|Air Ban|Air Ban|||
BAO|Bay Air Cargo S/a|Bay Air Cargo S/a|Bay Cargo|||
BAP|Trans International Express Aviation|Trans International Express Aviation|Big Apple|||
BAR|Bradley Air (Charter) Services Ltd.|Bradley Air (Charter) Services|Bradley|Canada||
BAS|Aero Services|Aero Services|Aeroserv|||
BAV|Bamboo Airways|Bamboo Airways|Bamboo|Vietnam||
BAW|British Airways|British Airways|Speedbird|United Kingdom|http://www.british-airways.com/|+1-800-247-9297
BAY|Bravo Airways|Bravo Airways||Ukraine||
BBA|Bombardier Inc.|Bombardier|Bombardier|||
BBB|Balair Cta|Balair Cta|Balair|||
BBC|Bangladesh Biman|Bangladesh Biman|Bangladeshi|||
BBD|Bluebird Cargo|Bluebird Cargo||Iceland||
BBE|Eastwind Airlines, Inc.|Eastwind|Stinger Bee|||
BBG|Blue Bird Airways|Blue Bird Airways|Candia Bird|Greece|http://www.bluebirdair.gr/|
BBK|B&K Aero KZ LLP|B&K Aero KZ|Babak|Kazakhstan||
BBL|Ibm, Euroflight-Operations|Ibm, Euroflight-Operations|Blue|||
BBN|Scampton Bae|Scampton Bae|Blackburn|||
BBR|Santa Barbara Airlines|SBA Airlines|Santa Barbara|Venezuela|https://www.sbairlines.com|+1-786-437-1800
BBX|Bel Air Aviation A/S|Bel Air|Bluebel|Denmark||
BBZ|Blue Bird Aviation Ltd|Blue Bird Aviation|Cobra|||
BCA|Bulgarian Air Cargo|Bulgarian Air Cargo|Bul Air Cargo|||
BCB|Carib Express|Carib Express|Wavebird|||
BCF|BACH Flugbetriebs|BACH Flugbetriebs||Austria||
BCG|Scientific Service Management Unit of the Mathematical Model of the North Sea (RBINS-MUMM)|RBINS-MUMM|Belgian Coastguard|Belgium||
BCH|Phillips Air|Phillips Air|Beachball|||
BCI|Blue Islands Limited|Blue Islands|Blue Island|United Kingdom|http://www.blueislands.com/|
BCK|Priority Aviation Company, Inc|Priority Aviation Company|Bankcheck|||
BCM|Bcm Airlines S.A.|Bcm Airlines|Bcm Airlines|||
BCR|British Charter|British Charter|Backer|||
BCS|European Air Transport|European Air Transport|Eurotrans|Germany||
BCT|British Columbia Telephone Ltd.|British Columbia Telephone Ltd.|Telco|||
BCY|Cityjet|Cityjet|City-Ireland|||
BDA|Blue Dart Aviation Ltd.|Blue Dart|Blue Dart|India|http://bluedartaviation.com/|
BDF|Bissau Discovery Flying Club|Bissau Discovery Flying Club|Bissau Discovery|||
BDG|Raspet Flight Research Laboratory, Mississippi State University|Raspet Flight Research Laboratory|Bulldog|||
BDI|Air Training Center West|Air Training Center West|Birdie|Denmark||
BDJ|DEER JET(BEIJING)CO.,LTD|CROWN JET||||
BDN|Boscombe Down Dteo|Boscombe Down Dteo|Gauntlet|||
BDR|Badr Airlines||Badr Air|Sudan|http://www.badrairlines.com/|
BDY|Birdy Airlines|Birdy||Belgium||
BEA|Benavia SA|Benavia|Benavia|||
BEC|Hawker Beechcraft|Berkut Air||Kazakhstan||
BED|Belgorod State Aviation Enterprise|Belgorod State Aviation Enterprise|Belogorye|||
BEE|Flybe|Flybe|Jersey|United Kingdom|http://www.flybe.com/|
BEI|Benair|Benair|Benair|||
BEL|Brussels Airlines||BEELINE|Belgium|http://www.brusselsairlines.com|+1-866-308-2230
BEN|Bennington Aviation, Inc|Bennington Aviation, Inc|Skycourier|||
BEX|Benin Air Express|Benin Air Express|Benin Express|||
BEZ|Kingfisher Air Services|Kingfisher Air Services|Sea Breeze|Puerto Rico||
BFA|Presidence du Faso|Presidence du Faso||||
BFC|Basler Flight Service, Inc.|Basler Flight Service|Basler|United States||
BFD|Bertelsmann AG, Guetersloh|Bertelsmann|Media Jet|Germany||
BFF|Air Baffin||Air Baffin|Canada||
BFG|Bear Flight|Bear Flight|Bearflight|||
BFL|Buffalo Airways Ltd.|Buffalo Airways|Buffalo|Canada||
BFO|Bombardier|Bombardier|Bombardier|Canada||
BFR|Burkina Airlines|Burkina||||
BFS|Business Flight Sweden AB|Business Flight Sweden|Business Flight|||
BFX|Fly Alpha GmbH, Schwabach|Fly Alpha|Bluefox|Germany||
BFY|Bestfly Aircraft Management Aruba|Bestfly|Mwango Best|Netherlands||
BGA|Airbus Transport International|Airbus Transport International|Super Transport|France||
BGB|Big Bend Community College|Big Bend Community College|Big Bend|United States||
BGE|Bridge Airlines|Bridge|Bridge Air|||
BGF|Aviodetachment-28|28th Air Detachment|Bulgarian|Bulgaria||
BGH|BH Air||BALKAN HOLIDAYS|Bulgaria|http://www.bhairlines.com/|
BGM|Bugulma Air Enterprise|Bugulma Air Enterprise|Bugavia|||
BGR|Bridger Aerospace|Bridger Aerospace|Bridger|United States||
BGS|Bundesgrenzschutz|Bundesgrenzschutz|Pirol|||
BGT|Bergen Air Transport|||Norway||
BHA|Buddha Air Pvt. Ltd |Buddha Air|BUDDHA AIR|Nepal||
BHE|Baltic Helicopters|Baltic Helicopters|Baltic Helicopters|||
BHI|Balkh Airlines|Balkh Airlines|Sharif|||
BHL|Bristow Helicopters Group Ltd.|Bristow Helicopters|Bristow|||
BHN|Bristow Helicopters|Bristow Helicopters|Bristow Helicopters|||
BHO|Bhoja Airlines|Bhoja Airlines|Bhoja|||
BHR|Bighorn Airways, Inc.|Bighorn|Bighorn Air|United States||
BHS|Bahamasair Holdings Ltd.|Bahamasair|Bahamas||http://www.bahamasair.com/ss/|+1-800-222-4262
BHT|Bright Air|Bright Air|Brightair|||
BHU|Business Air Ltd|Business Air|Business Hungary|||
BHZ|BHS Aviation AG|BHS Aviation|Alpine Star|Switzerland||
BIA|Bohlke international|Bohlke international|Bohlke international|||
BIC|Alphaland Aviation, Inc.|Alphaland Aviation|Balesin|Philippines||
BIG|Big Island Air, Inc.|Big Island Air|Big Isle|||
BIL|Billund Air Center A/s|Billund Air Center A/s|Bilair|||
BIM|Binter-Mediterraneo|Binter-Mediterraneo|Binter|||
BIN|Boise Interagency Fire Center|Boise Interagency Fire Center|Bison-Air|||
BIO|Bio|Bio|Bio-Air|||
BIR|Bird Leasing, Inc.|Bird Leasing|Bird Air|||
BIS|Irbis|Irbis|Irbis|||
BIT|Northeast Aviation|Northeast Aviation|Run Bitty|United States||
BIZ|Bizjet Ltd|Bizjet Ltd|Bizz|||
BJK|Atlantic Airlines|Atlantic|Blackjack|||
BJN|BEIJING AIRLINES CO., LTD||AIR JINGHUA|China||
BJS|Business Jet Solutions|Business Jet Solutions|Solution|||
BJT|Acm Aviation, Inc.|Acm Aviation|Bay Jet|||
BKA|Bankair, Inc.|Bankair|Bankair|||
BKF|BF-Lento Oy|BF-Lento Oy|Bakerflight|||
BKJ|Barken International, Inc.|Barken International|Barken Jet|United States||
BKK|Blink|||United Kingdom||
BKL|Baikal|Baikal|Baikal|||
BKM|Advisors Aviation|Advisors Aviation|Cardinal|United States||
BKN|Parks College of Aviation|Parks College of Aviation|Billiken|United States||
BKP|Bangkok Airways|Bangkok|Bangkok Air||http://www.bangkokair.com/|+1-866-226-4565
BKR|Civil Air Patrol, South Carolina Wing|Civil Air Patrol, South Carolina Wing|Box Kar|||
BKS|Aviaexpress Cruise, Joint-Stock Company|Aviaexpress Cruise|Aviacruise|||
BKU|Bykovo-Avia|Bykovo-Avia|Bykovo Avia|||
BKV|Bukovyna|Bukovyna|Bukovyna|Ukraine||
BLA|Blue Air||Blue Messenger|Romania||
BLB|Atlantic Air Bvi|Atlantic Air Bvi|Air Bvi|||
BLC|TAM - Transportes Aereos Meridionais S/a|TAM - Transportes Aereos Meridionais S/a|Tam-Meridional|||
BLD|Blagoveshchensk-Avia|Blagoveshchensk-Avia|Blagavia|||
BLE|Executive Air Services, LLC|Executive Air Services|BLUEWATER|United States|http://www.eascharter.com/|+1-800-579-1694
BLG|Belgavia|Belgavia|Belgavia|||
BLH|Blue Horizon Travel Club|Blue Horizon Travel Club|Blue Horizon|||
BLJ|Bluelink Jets|Bluelink Jets|BLUEJET|||
BLL|Baltic Airlines|Baltic Airlines|Baltic Airlines|||
BLM|The Black Magic Project Ltd|The Black Magic Project|Black Magic|||
BLN|Bali International Air Service|Bali International Air Service|Biar|||
BLO|Aerotransportes Barlovento, S.A. de C.V.|Aerotransportes Barlovento de C.V.|Barlovento|||
BLR|Metropolitan Aviation LLC|Metropolitan Aviation |Blue Ridge|||
BLS|Bearskin Lake Air Service Limited|Bearskin Lake Air Service Limited|Bearskin|Canada||
BLT|Baltic Aviation, Inc.|Baltic Aviation|Baltair|||
BLU|SolutionsAir|SolutionsAir|BLUEGRASS|United States||
BLX|TUIfly Nordic AB|TUIfly Nordic|Bluescan|Sweden||
BLZ|Aero Barloz, S.A. de C.V.|Aero Barloz de C.V.|Aeroloz|||
BMD|British Medical Charter|British Medical Charter|British Medical|||
BMG|Image Air Charter|Image Air Charter|Boomerang|Canada|http://www.imageaircharter.com|905-405-0331
BMH|Bristow Masayu Helicopters P.t.|Bristow Masayu Helicopters P.t.|Masayu|||
BMI|bmibaby|BMI|Baby|United Kingdom||0330 333 7998
BMJ|Bemidji Aviation|Bemidji Aviation|Bemidji|United States|http://www.bemidjiaviation.com/|+1-800-332-7133
BML|Bismillah Airlines|Bismillah Airlines|Bismillah|Bangladesh||
BMP|Bundled Aerial Mapping||Air Bama|United States||
BMR|BMI Regional|BMI Regional|Kittywake|United Kingdom||
BMV|Alatau Airlines|Alatau|Oliga|||
BMW|BMW Flugdienst, Munchen-Flughafen|BMW Flugdienst, Munchen-Flughafen|BMW-Flight|||
BMX|Banco de Mexico|Banco de Mexico|Banxico|||
BMY|Bimini Island Air, Inc.|Bimini Island Air|Bimini|||
BNA|Bun Air Corporation|Bunair Corp|Bunair|United States||
BNB|Aero Banobras, S.A. de C.V.|Aero Banobras de C.V.|Aerobanobras|||
BNC|Sundance Air, Incorporated|Sundance Air|Barnacle Air|United States||
BND|Bond Helicopters Ltd.|Bond Helicopters|Bond|||
BNI|Alberni Airways|Alberni|Alberni|Canada||
BNL|Berniq Airways|Berniq Airways|Manara|Libya||
BNO|Babcock Scandinavian Airambulance AS|Babcock Scandinavian Airambulance|Norse|Norway||
BNR|Bonair Aviation Ltd.|Bonair Aviation|Bonair|Canada||
BNS|Valley National Corp. D/B/A Bancstar|Valley National Corp. D/B/A Bancstar|Bancstar|||
BNV|Benane Aviation Corporation|Benane Aviation|Benane|||
BNX|I.a.a.c.a.|I.a.a.c.a.|Air Barinas|||
BNZ|Aerolineas Bonanza, S.A. de C.V.|Aerolineas Bonanza de C.V.|Aero Bonanza|||
BOA|Boniair|Boniair|Kumanovo|||
BOB|Jet Club Ltd|Jet Club|Bob Jet|||
BOD|Bond Air Services Ltd.|Bond Air Services Ltd.|Ugabond|||
BOE|Boeing Commercial Airplane Group|Boeing|Boeing|United States||
BOF|Bordaire Ltd.|Bordaire|Bordair|Canada||
BOG|Live Oak Banking||Bird Dog|||
BOH|Air Bohemia A.S.|AirBohemia|Bohemia|Czech Republic||
BOI|Aboitiz Air Transport Corporation|Aboitiz Air Transport|Abair|||
BOL|Transportes Aereos Bolivianos|Transportes Aereos Bolivianos|Bol|||
BOO|BookaJet|BookaJet|Bookajet|United Kingdom||
BOR|Merpati Intan|Merpati Intan|Borneo|||
BOS|OpenSkies|Level|Mistral|United Kingdom|https://www.flylevel.com/|
BOT|Air Botswana|Air Botswana|Botswana|Botswana|http://www.airbotswana.co.bw/|+1-800-518-7781
BOV|Boliviana de Aviacin|Boliviana de Aviacin|BOLIVIANA|||
BOX|AeroLogic|AeroLogic|German Cargo|Germany|http://www.aerologic.aero|
BPA|Blue Panorama|Blue Panorama|Blue Jet|||
BPK|Berkhut ZK|Berkhut ZK|Venera|||
BPO|Bundepolizei-Fliegergruppe |Bundepolizei-Fliegergruppe |Pirol|Germany||
BPS|Budapest Air Service Ltd|Budapest Air Service Ltd|Base|||
BPT|Bonus Aviation|Bonus Aviation|Bonus|||
BRE|Air Bretagne|Air Bretagne|Bretagne|||
BRF|Air Bravo|Air Bravo|Air Bravo|||
BRG|Bering Air, Inc.|Bering Air|Bering Air|United States|http://www.beringair.com/|+1-800-478-5422
BRH|Braathen Helicopters A/s|Braathen Helicopters A/s|Bee Copter|||
BRI|Air Bor|Air Bor|Air Bor|||
BRK|Briansk State Air Enterprise|Briansk State Air Enterprise|Briansk-Avia|||
BRL|Air Brasd'or|Air Brasd'or|Brasd'or|Canada||
BRM|Air 500 Limited|Air 500 Limited|Boomerang|Canada||
BRN|Eclipse Airlines, Inc. D/B/A Branson Airlines, Inc.|Eclipse Airlines D/B/A Branson Airlines|Branson|||
BRO|Base Regional Airlines|Base Regional|Coastrider|||
BRQ|El-Buraq Air Transport Inc.|Buraq Air|Buraqair|Libya||
BRR|Mountain Air Service, Inc|Mountain Air Service|Mountain Air|||
BRS|Brazilian Air Force|Brazilian Air Force|Brazilian Air Force|||
BRT|British Regional Airlines Ltd|British Regional|British|||
BRU|Belavia|Belavia|Belarus Avia|Belarus||
BRX|Braathens Regional Airways AB|Braathens Regional Airways|Braathens|Sweden|http://www.braathensregional.com/|
BRY|Brymon European Airways|Brymon European|Brymon|||
BSA|Ecole D'aviation Civile|Ecole D'aviation Civile|Cas Belgium|||
BSC|Blue Sky Carrier Co. Ltd.|Blue Sky Carrier|Blue Steam|||
BSI|Brasair Transportes Aereos|Brasair Transportes Aereos|Brasair|||
